year,gender,age,value
1971,Female+,All ages,457786.0
1972,Female+,All ages,453006.0
1973,Female+,All ages,449309.0
1974,Female+,All ages,448087.0
1975,Female+,All ages,452965.0
1976,Female+,All ages,460583.0
1977,Female+,All ages,467509.0
1978,Female+,All ages,471865.0
1979,Female+,All ages,475906.0
1980,Female+,All ages,480440.0
1981,Female+,All ages,485083.0
1982,Female+,All ages,491359.0
1983,Female+,All ages,499173.0
1984,Female+,All ages,506149.0
1985,Female+,All ages,511489.0
1986,Female+,All ages,513516.0
1987,Female+,All ages,515858.0
1988,Female+,All ages,513872.0
1989,Female+,All ages,510187.0
1990,Female+,All ages,504926.0
1991,Female+,All ages,503069.0
1992,Female+,All ages,504010.0
1993,Female+,All ages,505481.0
1994,Female+,All ages,507261.0
1995,Female+,All ages,509926.0
1996,Female+,All ages,512045.0
1997,Female+,All ages,511416.0
1998,Female+,All ages,511312.0
1999,Female+,All ages,509892.0
2000,Female+,All ages,506478.0
2001,Female+,All ages,502831.0
2002,Female+,All ages,501635.0
2003,Female+,All ages,501692.0
2004,Female+,All ages,502493.0
2005,Female+,All ages,500929.0
2006,Female+,All ages,500737.0
2007,Female+,All ages,504830.0
2008,Female+,All ages,511408.0
2009,Female+,All ages,518497.0
2010,Female+,All ages,525707.0
2011,Female+,All ages,531309.0
2012,Female+,All ages,538989.0
2013,Female+,All ages,545880.0
2014,Female+,All ages,551777.0
2015,Female+,All ages,556859.0
2016,Female+,All ages,563606.0
2017,Female+,All ages,569319.0
2018,Female+,All ages,573715.0
2019,Female+,All ages,577516.0
2020,Female+,All ages,579262.0
2021,Female+,All ages,579617.0
2022,Female+,All ages,585179.0
2023,Female+,All ages,600089.0
1971,Female+,0 to 4 years,38891.0
1972,Female+,0 to 4 years,37535.0
1973,Female+,0 to 4 years,36916.0
1974,Female+,0 to 4 years,36241.0
1975,Female+,0 to 4 years,36485.0
1976,Female+,0 to 4 years,37090.0
1977,Female+,0 to 4 years,38077.0
1978,Female+,0 to 4 years,38476.0
1979,Female+,0 to 4 years,39151.0
1980,Female+,0 to 4 years,39695.0
1981,Female+,0 to 4 years,39880.0
1982,Female+,0 to 4 years,40491.0
1983,Female+,0 to 4 years,41605.0
1984,Female+,0 to 4 years,42422.0
1985,Female+,0 to 4 years,42563.0
1986,Female+,0 to 4 years,42446.0
1987,Female+,0 to 4 years,42560.0
1988,Female+,0 to 4 years,41364.0
1989,Female+,0 to 4 years,40467.0
1990,Female+,0 to 4 years,39462.0
1991,Female+,0 to 4 years,38561.0
1992,Female+,0 to 4 years,37986.0
1993,Female+,0 to 4 years,37594.0
1994,Female+,0 to 4 years,36776.0
1995,Female+,0 to 4 years,35919.0
1996,Female+,0 to 4 years,35357.0
1997,Female+,0 to 4 years,34209.0
1998,Female+,0 to 4 years,33320.0
1999,Female+,0 to 4 years,32311.0
2000,Female+,0 to 4 years,31301.0
2001,Female+,0 to 4 years,30452.0
2002,Female+,0 to 4 years,29811.0
2003,Female+,0 to 4 years,29388.0
2004,Female+,0 to 4 years,29281.0
2005,Female+,0 to 4 years,28726.0
2006,Female+,0 to 4 years,28671.0
2007,Female+,0 to 4 years,29452.0
2008,Female+,0 to 4 years,30914.0
2009,Female+,0 to 4 years,32003.0
2010,Female+,0 to 4 years,33332.0
2011,Female+,0 to 4 years,34132.0
2012,Female+,0 to 4 years,35180.0
2013,Female+,0 to 4 years,35703.0
2014,Female+,0 to 4 years,36265.0
2015,Female+,0 to 4 years,36665.0
2016,Female+,0 to 4 years,37383.0
2017,Female+,0 to 4 years,37714.0
2018,Female+,0 to 4 years,37791.0
2019,Female+,0 to 4 years,37141.0
2020,Female+,0 to 4 years,36367.0
2021,Female+,0 to 4 years,35245.0
2022,Female+,0 to 4 years,34642.0
2023,Female+,0 to 4 years,34381.0
1971,Female+,5 to 9 years,48543.0
1972,Female+,5 to 9 years,45650.0
1973,Female+,5 to 9 years,42519.0
1974,Female+,5 to 9 years,40040.0
1975,Female+,5 to 9 years,38642.0
1976,Female+,5 to 9 years,38333.0
1977,Female+,5 to 9 years,38120.0
1978,Female+,5 to 9 years,38124.0
1979,Female+,5 to 9 years,37857.0
1980,Female+,5 to 9 years,37843.0
1981,Female+,5 to 9 years,38092.0
1982,Female+,5 to 9 years,38560.0
1983,Female+,5 to 9 years,38958.0
1984,Female+,5 to 9 years,39648.0
1985,Female+,5 to 9 years,40368.0
1986,Female+,5 to 9 years,40512.0
1987,Female+,5 to 9 years,40547.0
1988,Female+,5 to 9 years,40760.0
1989,Female+,5 to 9 years,40664.0
1990,Female+,5 to 9 years,40089.0
1991,Female+,5 to 9 years,39941.0
1992,Female+,5 to 9 years,39658.0
1993,Female+,5 to 9 years,38879.0
1994,Female+,5 to 9 years,38771.0
1995,Female+,5 to 9 years,38858.0
1996,Female+,5 to 9 years,38646.0
1997,Female+,5 to 9 years,38114.0
1998,Female+,5 to 9 years,37728.0
1999,Female+,5 to 9 years,36620.0
2000,Female+,5 to 9 years,35267.0
2001,Female+,5 to 9 years,34010.0
2002,Female+,5 to 9 years,33055.0
2003,Female+,5 to 9 years,32190.0
2004,Female+,5 to 9 years,31447.0
2005,Female+,5 to 9 years,30738.0
2006,Female+,5 to 9 years,30115.0
2007,Female+,5 to 9 years,29977.0
2008,Female+,5 to 9 years,30029.0
2009,Female+,5 to 9 years,30367.0
2010,Female+,5 to 9 years,30449.0
2011,Female+,5 to 9 years,31041.0
2012,Female+,5 to 9 years,32306.0
2013,Female+,5 to 9 years,33652.0
2014,Female+,5 to 9 years,34619.0
2015,Female+,5 to 9 years,35834.0
2016,Female+,5 to 9 years,36880.0
2017,Female+,5 to 9 years,37300.0
2018,Female+,5 to 9 years,37457.0
2019,Female+,5 to 9 years,37729.0
2020,Female+,5 to 9 years,37617.0
2021,Female+,5 to 9 years,37566.0
2022,Female+,5 to 9 years,37949.0
2023,Female+,5 to 9 years,39040.0
1971,Female+,10 to 14 years,50103.0
1972,Female+,10 to 14 years,49616.0
1973,Female+,10 to 14 years,49401.0
1974,Female+,10 to 14 years,48906.0
1975,Female+,10 to 14 years,48115.0
1976,Female+,10 to 14 years,46844.0
1977,Female+,10 to 14 years,45421.0
1978,Female+,10 to 14 years,43194.0
1979,Female+,10 to 14 years,41131.0
1980,Female+,10 to 14 years,39573.0
1981,Female+,10 to 14 years,38797.0
1982,Female+,10 to 14 years,38759.0
1983,Female+,10 to 14 years,38942.0
1984,Female+,10 to 14 years,38727.0
1985,Female+,10 to 14 years,38734.0
1986,Female+,10 to 14 years,38651.0
1987,Female+,10 to 14 years,39020.0
1988,Female+,10 to 14 years,38785.0
1989,Female+,10 to 14 years,38548.0
1990,Female+,10 to 14 years,38328.0
1991,Female+,10 to 14 years,38077.0
1992,Female+,10 to 14 years,38455.0
1993,Female+,10 to 14 years,39218.0
1994,Female+,10 to 14 years,39550.0
1995,Female+,10 to 14 years,39460.0
1996,Female+,10 to 14 years,39440.0
1997,Female+,10 to 14 years,39525.0
1998,Female+,10 to 14 years,39108.0
1999,Female+,10 to 14 years,38837.0
2000,Female+,10 to 14 years,38407.0
2001,Female+,10 to 14 years,37645.0
2002,Female+,10 to 14 years,37255.0
2003,Female+,10 to 14 years,36910.0
2004,Female+,10 to 14 years,36042.0
2005,Female+,10 to 14 years,35040.0
2006,Female+,10 to 14 years,34065.0
2007,Female+,10 to 14 years,33437.0
2008,Female+,10 to 14 years,33065.0
2009,Female+,10 to 14 years,32721.0
2010,Female+,10 to 14 years,32595.0
2011,Female+,10 to 14 years,32322.0
2012,Female+,10 to 14 years,32363.0
2013,Female+,10 to 14 years,32520.0
2014,Female+,10 to 14 years,32997.0
2015,Female+,10 to 14 years,33001.0
2016,Female+,10 to 14 years,33816.0
2017,Female+,10 to 14 years,34411.0
2018,Female+,10 to 14 years,35313.0
2019,Female+,10 to 14 years,35942.0
2020,Female+,10 to 14 years,36798.0
2021,Female+,10 to 14 years,37216.0
2022,Female+,10 to 14 years,37791.0
2023,Female+,10 to 14 years,38830.0
1971,Female+,15 to 19 years,47165.0
1972,Female+,15 to 19 years,46950.0
1973,Female+,15 to 19 years,46382.0
1974,Female+,15 to 19 years,46402.0
1975,Female+,15 to 19 years,47048.0
1976,Female+,15 to 19 years,47971.0
1977,Female+,15 to 19 years,48148.0
1978,Female+,15 to 19 years,48372.0
1979,Female+,15 to 19 years,48244.0
1980,Female+,15 to 19 years,47839.0
1981,Female+,15 to 19 years,46908.0
1982,Female+,15 to 19 years,45219.0
1983,Female+,15 to 19 years,43270.0
1984,Female+,15 to 19 years,41390.0
1985,Female+,15 to 19 years,39878.0
1986,Female+,15 to 19 years,38995.0
1987,Female+,15 to 19 years,38350.0
1988,Female+,15 to 19 years,37715.0
1989,Female+,15 to 19 years,36940.0
1990,Female+,15 to 19 years,36428.0
1991,Female+,15 to 19 years,36392.0
1992,Female+,15 to 19 years,36536.0
1993,Female+,15 to 19 years,36534.0
1994,Female+,15 to 19 years,37089.0
1995,Female+,15 to 19 years,37921.0
1996,Female+,15 to 19 years,38454.0
1997,Female+,15 to 19 years,38126.0
1998,Female+,15 to 19 years,38370.0
1999,Female+,15 to 19 years,38475.0
2000,Female+,15 to 19 years,38363.0
2001,Female+,15 to 19 years,38386.0
2002,Female+,15 to 19 years,38405.0
2003,Female+,15 to 19 years,37906.0
2004,Female+,15 to 19 years,37863.0
2005,Female+,15 to 19 years,37579.0
2006,Female+,15 to 19 years,37387.0
2007,Female+,15 to 19 years,37384.0
2008,Female+,15 to 19 years,37320.0
2009,Female+,15 to 19 years,36705.0
2010,Female+,15 to 19 years,35944.0
2011,Female+,15 to 19 years,35166.0
2012,Female+,15 to 19 years,34630.0
2013,Female+,15 to 19 years,34224.0
2014,Female+,15 to 19 years,34003.0
2015,Female+,15 to 19 years,34126.0
2016,Female+,15 to 19 years,34178.0
2017,Female+,15 to 19 years,33943.0
2018,Female+,15 to 19 years,33755.0
2019,Female+,15 to 19 years,33860.0
2020,Female+,15 to 19 years,33460.0
2021,Female+,15 to 19 years,33494.0
2022,Female+,15 to 19 years,34511.0
2023,Female+,15 to 19 years,36423.0
1971,Female+,20 to 24 years,34348.0
1972,Female+,20 to 24 years,34534.0
1973,Female+,20 to 24 years,35432.0
1974,Female+,20 to 24 years,36789.0
1975,Female+,20 to 24 years,38816.0
1976,Female+,20 to 24 years,40915.0
1977,Female+,20 to 24 years,42943.0
1978,Female+,20 to 24 years,44062.0
1979,Female+,20 to 24 years,44652.0
1980,Female+,20 to 24 years,44858.0
1981,Female+,20 to 24 years,44992.0
1982,Female+,20 to 24 years,45422.0
1983,Female+,20 to 24 years,46895.0
1984,Female+,20 to 24 years,47883.0
1985,Female+,20 to 24 years,47942.0
1986,Female+,20 to 24 years,46584.0
1987,Female+,20 to 24 years,44061.0
1988,Female+,20 to 24 years,40563.0
1989,Female+,20 to 24 years,37197.0
1990,Female+,20 to 24 years,34381.0
1991,Female+,20 to 24 years,33075.0
1992,Female+,20 to 24 years,32857.0
1993,Female+,20 to 24 years,32901.0
1994,Female+,20 to 24 years,32948.0
1995,Female+,20 to 24 years,33242.0
1996,Female+,20 to 24 years,33721.0
1997,Female+,20 to 24 years,34113.0
1998,Female+,20 to 24 years,34116.0
1999,Female+,20 to 24 years,34452.0
2000,Female+,20 to 24 years,34393.0
2001,Female+,20 to 24 years,34229.0
2002,Female+,20 to 24 years,34320.0
2003,Female+,20 to 24 years,35186.0
2004,Female+,20 to 24 years,35986.0
2005,Female+,20 to 24 years,35882.0
2006,Female+,20 to 24 years,35786.0
2007,Female+,20 to 24 years,36176.0
2008,Female+,20 to 24 years,36603.0
2009,Female+,20 to 24 years,37658.0
2010,Female+,20 to 24 years,38591.0
2011,Female+,20 to 24 years,38804.0
2012,Female+,20 to 24 years,38261.0
2013,Female+,20 to 24 years,37995.0
2014,Female+,20 to 24 years,37172.0
2015,Female+,20 to 24 years,36452.0
2016,Female+,20 to 24 years,35739.0
2017,Female+,20 to 24 years,35464.0
2018,Female+,20 to 24 years,35109.0
2019,Female+,20 to 24 years,35003.0
2020,Female+,20 to 24 years,34658.0
2021,Female+,20 to 24 years,34379.0
2022,Female+,20 to 24 years,34726.0
2023,Female+,20 to 24 years,35861.0
1971,Female+,25 to 29 years,26502.0
1972,Female+,25 to 29 years,27270.0
1973,Female+,25 to 29 years,27565.0
1974,Female+,25 to 29 years,28536.0
1975,Female+,25 to 29 years,30337.0
1976,Female+,25 to 29 years,32249.0
1977,Female+,25 to 29 years,33479.0
1978,Female+,25 to 29 years,34919.0
1979,Female+,25 to 29 years,36612.0
1980,Female+,25 to 29 years,38600.0
1981,Female+,25 to 29 years,40265.0
1982,Female+,25 to 29 years,42049.0
1983,Female+,25 to 29 years,43519.0
1984,Female+,25 to 29 years,44465.0
1985,Female+,25 to 29 years,44860.0
1986,Female+,25 to 29 years,44787.0
1987,Female+,25 to 29 years,45154.0
1988,Female+,25 to 29 years,45228.0
1989,Female+,25 to 29 years,44042.0
1990,Female+,25 to 29 years,41711.0
1991,Female+,25 to 29 years,39271.0
1992,Female+,25 to 29 years,37024.0
1993,Female+,25 to 29 years,34868.0
1994,Female+,25 to 29 years,33060.0
1995,Female+,25 to 29 years,32061.0
1996,Female+,25 to 29 years,31740.0
1997,Female+,25 to 29 years,31537.0
1998,Female+,25 to 29 years,31555.0
1999,Female+,25 to 29 years,31067.0
2000,Female+,25 to 29 years,30633.0
2001,Female+,25 to 29 years,30377.0
2002,Female+,25 to 29 years,30305.0
2003,Female+,25 to 29 years,30230.0
2004,Female+,25 to 29 years,30936.0
2005,Female+,25 to 29 years,31395.0
2006,Female+,25 to 29 years,31702.0
2007,Female+,25 to 29 years,32351.0
2008,Female+,25 to 29 years,33690.0
2009,Female+,25 to 29 years,35352.0
2010,Female+,25 to 29 years,37093.0
2011,Female+,25 to 29 years,38625.0
2012,Female+,25 to 29 years,39740.0
2013,Female+,25 to 29 years,40058.0
2014,Female+,25 to 29 years,40258.0
2015,Female+,25 to 29 years,40378.0
2016,Female+,25 to 29 years,40312.0
2017,Female+,25 to 29 years,40203.0
2018,Female+,25 to 29 years,39722.0
2019,Female+,25 to 29 years,38865.0
2020,Female+,25 to 29 years,37683.0
2021,Female+,25 to 29 years,36435.0
2022,Female+,25 to 29 years,36187.0
2023,Female+,25 to 29 years,37247.0
1971,Female+,30 to 34 years,23618.0
1972,Female+,30 to 34 years,23327.0
1973,Female+,30 to 34 years,23314.0
1974,Female+,30 to 34 years,23573.0
1975,Female+,30 to 34 years,24440.0
1976,Female+,30 to 34 years,25456.0
1977,Female+,30 to 34 years,27260.0
1978,Female+,30 to 34 years,28438.0
1979,Female+,30 to 34 years,29904.0
1980,Female+,30 to 34 years,31658.0
1981,Female+,30 to 34 years,33224.0
1982,Female+,30 to 34 years,33983.0
1983,Female+,30 to 34 years,35396.0
1984,Female+,30 to 34 years,37271.0
1985,Female+,30 to 34 years,39178.0
1986,Female+,30 to 34 years,40582.0
1987,Female+,30 to 34 years,41862.0
1988,Female+,30 to 34 years,42293.0
1989,Female+,30 to 34 years,42042.0
1990,Female+,30 to 34 years,41294.0
1991,Female+,30 to 34 years,41106.0
1992,Female+,30 to 34 years,40947.0
1993,Female+,30 to 34 years,41031.0
1994,Female+,30 to 34 years,40645.0
1995,Female+,30 to 34 years,39803.0
1996,Female+,30 to 34 years,38471.0
1997,Female+,30 to 34 years,36580.0
1998,Female+,30 to 34 years,34617.0
1999,Female+,30 to 34 years,32670.0
2000,Female+,30 to 34 years,30978.0
2001,Female+,30 to 34 years,29826.0
2002,Female+,30 to 34 years,29390.0
2003,Female+,30 to 34 years,29337.0
2004,Female+,30 to 34 years,28922.0
2005,Female+,30 to 34 years,28628.0
2006,Female+,30 to 34 years,28767.0
2007,Female+,30 to 34 years,29575.0
2008,Female+,30 to 34 years,30290.0
2009,Female+,30 to 34 years,31426.0
2010,Female+,30 to 34 years,32438.0
2011,Female+,30 to 34 years,33235.0
2012,Female+,30 to 34 years,35086.0
2013,Female+,30 to 34 years,37197.0
2014,Female+,30 to 34 years,38811.0
2015,Female+,30 to 34 years,39833.0
2016,Female+,30 to 34 years,40787.0
2017,Female+,30 to 34 years,41408.0
2018,Female+,30 to 34 years,41255.0
2019,Female+,30 to 34 years,41299.0
2020,Female+,30 to 34 years,41235.0
2021,Female+,30 to 34 years,40672.0
2022,Female+,30 to 34 years,40296.0
2023,Female+,30 to 34 years,41399.0
1971,Female+,35 to 39 years,23674.0
1972,Female+,35 to 39 years,22892.0
1973,Female+,35 to 39 years,22257.0
1974,Female+,35 to 39 years,21720.0
1975,Female+,35 to 39 years,21835.0
1976,Female+,35 to 39 years,22506.0
1977,Female+,35 to 39 years,23066.0
1978,Female+,35 to 39 years,23600.0
1979,Female+,35 to 39 years,24223.0
1980,Female+,35 to 39 years,24905.0
1981,Female+,35 to 39 years,25536.0
1982,Female+,35 to 39 years,27386.0
1983,Female+,35 to 39 years,28820.0
1984,Female+,35 to 39 years,30402.0
1985,Female+,35 to 39 years,31964.0
1986,Female+,35 to 39 years,33007.0
1987,Female+,35 to 39 years,33504.0
1988,Female+,35 to 39 years,34400.0
1989,Female+,35 to 39 years,35524.0
1990,Female+,35 to 39 years,36526.0
1991,Female+,35 to 39 years,37596.0
1992,Female+,35 to 39 years,38605.0
1993,Female+,35 to 39 years,39358.0
1994,Female+,35 to 39 years,39781.0
1995,Female+,35 to 39 years,40150.0
1996,Female+,35 to 39 years,40240.0
1997,Female+,35 to 39 years,40261.0
1998,Female+,35 to 39 years,40316.0
1999,Female+,35 to 39 years,39874.0
2000,Female+,35 to 39 years,38771.0
2001,Female+,35 to 39 years,37036.0
2002,Female+,35 to 39 years,35179.0
2003,Female+,35 to 39 years,33191.0
2004,Female+,35 to 39 years,31448.0
2005,Female+,35 to 39 years,29930.0
2006,Female+,35 to 39 years,29172.0
2007,Female+,35 to 39 years,29221.0
2008,Female+,35 to 39 years,29635.0
2009,Female+,35 to 39 years,29865.0
2010,Female+,35 to 39 years,30430.0
2011,Female+,35 to 39 years,31139.0
2012,Female+,35 to 39 years,32231.0
2013,Female+,35 to 39 years,33133.0
2014,Female+,35 to 39 years,34423.0
2015,Female+,35 to 39 years,35623.0
2016,Female+,35 to 39 years,37036.0
2017,Female+,35 to 39 years,38135.0
2018,Female+,35 to 39 years,39454.0
2019,Female+,35 to 39 years,40324.0
2020,Female+,35 to 39 years,40911.0
2021,Female+,35 to 39 years,41167.0
2022,Female+,35 to 39 years,42055.0
2023,Female+,35 to 39 years,43664.0
1971,Female+,40 to 44 years,24800.0
1972,Female+,40 to 44 years,24135.0
1973,Female+,40 to 44 years,23477.0
1974,Female+,40 to 44 years,23058.0
1975,Female+,40 to 44 years,22592.0
1976,Female+,40 to 44 years,22568.0
1977,Female+,40 to 44 years,22356.0
1978,Female+,40 to 44 years,22221.0
1979,Female+,40 to 44 years,22075.0
1980,Female+,40 to 44 years,22218.0
1981,Female+,40 to 44 years,22726.0
1982,Female+,40 to 44 years,23042.0
1983,Female+,40 to 44 years,23636.0
1984,Female+,40 to 44 years,24369.0
1985,Female+,40 to 44 years,25108.0
1986,Female+,40 to 44 years,25753.0
1987,Female+,40 to 44 years,27277.0
1988,Female+,40 to 44 years,28164.0
1989,Female+,40 to 44 years,29163.0
1990,Female+,40 to 44 years,30225.0
1991,Female+,40 to 44 years,31223.0
1992,Female+,40 to 44 years,31604.0
1993,Female+,40 to 44 years,32531.0
1994,Female+,40 to 44 years,33847.0
1995,Female+,40 to 44 years,35354.0
1996,Female+,40 to 44 years,36685.0
1997,Female+,40 to 44 years,37742.0
1998,Female+,40 to 44 years,38683.0
1999,Female+,40 to 44 years,39078.0
2000,Female+,40 to 44 years,39029.0
2001,Female+,40 to 44 years,38878.0
2002,Female+,40 to 44 years,38837.0
2003,Female+,40 to 44 years,38940.0
2004,Female+,40 to 44 years,38744.0
2005,Female+,40 to 44 years,37917.0
2006,Female+,40 to 44 years,36685.0
2007,Female+,40 to 44 years,35092.0
2008,Female+,40 to 44 years,33410.0
2009,Female+,40 to 44 years,32051.0
2010,Female+,40 to 44 years,31147.0
2011,Female+,40 to 44 years,30976.0
2012,Female+,40 to 44 years,31404.0
2013,Female+,40 to 44 years,31959.0
2014,Female+,40 to 44 years,32238.0
2015,Female+,40 to 44 years,32604.0
2016,Female+,40 to 44 years,33355.0
2017,Female+,40 to 44 years,34244.0
2018,Female+,40 to 44 years,34842.0
2019,Female+,40 to 44 years,35741.0
2020,Female+,40 to 44 years,36557.0
2021,Female+,40 to 44 years,37186.0
2022,Female+,40 to 44 years,38321.0
2023,Female+,40 to 44 years,40778.0
1971,Female+,45 to 49 years,25927.0
1972,Female+,45 to 49 years,25124.0
1973,Female+,45 to 49 years,24774.0
1974,Female+,45 to 49 years,24203.0
1975,Female+,45 to 49 years,23931.0
1976,Female+,45 to 49 years,23705.0
1977,Female+,45 to 49 years,23523.0
1978,Female+,45 to 49 years,23227.0
1979,Female+,45 to 49 years,23041.0
1980,Female+,45 to 49 years,22514.0
1981,Female+,45 to 49 years,22301.0
1982,Female+,45 to 49 years,22121.0
1983,Female+,45 to 49 years,22046.0
1984,Female+,45 to 49 years,21983.0
1985,Female+,45 to 49 years,22005.0
1986,Female+,45 to 49 years,22414.0
1987,Female+,45 to 49 years,22714.0
1988,Female+,45 to 49 years,23079.0
1989,Female+,45 to 49 years,23532.0
1990,Female+,45 to 49 years,23903.0
1991,Female+,45 to 49 years,24385.0
1992,Female+,45 to 49 years,25841.0
1993,Female+,45 to 49 years,26897.0
1994,Female+,45 to 49 years,28159.0
1995,Female+,45 to 49 years,29512.0
1996,Female+,45 to 49 years,30509.0
1997,Female+,45 to 49 years,30967.0
1998,Female+,45 to 49 years,31819.0
1999,Female+,45 to 49 years,33168.0
2000,Female+,45 to 49 years,34548.0
2001,Female+,45 to 49 years,35646.0
2002,Female+,45 to 49 years,36723.0
2003,Female+,45 to 49 years,37642.0
2004,Female+,45 to 49 years,38087.0
2005,Female+,45 to 49 years,38103.0
2006,Female+,45 to 49 years,38070.0
2007,Female+,45 to 49 years,38369.0
2008,Female+,45 to 49 years,38920.0
2009,Female+,45 to 49 years,39050.0
2010,Female+,45 to 49 years,38615.0
2011,Female+,45 to 49 years,37635.0
2012,Female+,45 to 49 years,36288.0
2013,Female+,45 to 49 years,34647.0
2014,Female+,45 to 49 years,33298.0
2015,Female+,45 to 49 years,32270.0
2016,Female+,45 to 49 years,32120.0
2017,Female+,45 to 49 years,32352.0
2018,Female+,45 to 49 years,32804.0
